[Header]
; Thermal Transport Data File (default extension .dat)
; Copyright 2000, Quantum Design, Inc. All rights reserved.
TITLE,D387_Ag8GeS6_TTO
FILEOPENTIME,3945699260.4714,01/10/2025,6:39 pm
BYAPP,THERMAL_TRANSPORT,1.0,1.1,1.2
INFO,PPMS Thermal Transport Option Version: Release 2.0.0,APPNAME
INFO,Ag8GeS6,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.9898,SAMPLE_VLEAD_SEPARATION
INFO,1.9898,SAMPLE_ILEAD_SEPARATION
INFO,18.814,SAMPLE_CROSS_SECTION
INFO,30.59,SAMPLE_SURFACE_AREA
INFO,1.0,SAMPLE_EMISSIVITY
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ThermalCond, 2,4,5,6,7,8,19,20,22,28
FIELDGROUP,SeebeckCoef, 2,4,5,6,9,10,19,20,22,28
FIELDGROUP,Resistivity, 2,4,5,6,11,12,19,20,22,28
FIELDGROUP,Merit-ZT,    2,4,5,6,7,8,9,10,11,12,13,14,19,20,22,28
STARTUPGROUP,All
STARTUPAXIS,X,6
STARTUPAXIS,Y1,7
STARTUPAXIS,Y2,9
STARTUPAXIS,Y3,11
[Data]
Comment,Time Stamp (sec),Status (code),Error (code),Magnetic Field (Oe),Sample Temp. (K),Conductivity (W/K-m),Cond. Error,Seebeck Coef. (µV/K),Seebeck Error,Resistivity (Ohm-m),Resist Error,Figure of Merit ZT,Merit Error,Delta Temp. (K),Conductance (W/K),Raw Conductance (W/K),Seebeck Volt. (µV),Resistance (Ohm),Min. Temp. (K),Max. Temp. (K),Temp. Rise (K),Req. Htr Power (W),Heater Power (W),Rad. Loss (W),Cond. Pwr. (W),Heater Current (mA),Res. Drive (mA),Res. Freq (Hz),Period (sec),Period Ratio,tau1 (sec),tau2 (sec),Seebeck Gain,Resist. Gain,System Temp (K),Chamber Pressure (Torr),Temperature Status,Field Status,Chamber Status,Hot Baseline Avg (K),Cold Baseline Avg (K),QMap 1,QMap 2,QMap 3,QMap 4,QMap 5,QMap 6,QMap 7,QMap 8,QMap 9,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3945723687.9664,1810,18432,0,15.8327425572294,0.344649967546224,0.000483420061324968,,,0,0,,,0.270851324229035,0.00325874182803028,0.00325984285673931,,0,15.512223181085,16.1140811147805,0.483125972020007,0.000882909856277709,0.000882932754526403,9.37088966905103E-9,0.000882923383636734,0.662445129394531,7.9999970703125,,29.696,10.9757029344381,2.70561258603526,0.0019,998.9870568,0.99973338842392,15.8450078964234,9.89999989542412E-6,2,1,7,15.6894284064338,15.6977778551454,,,,,,,,,,,,,,,,
,3945723747.54832,1810,18432,0,16.2621142353575,0.3465696939559,0.000441697825573668,,,0,0,,,0.267097257856698,0.00327689326670334,0.00327783223731117,,0,16.0054488256363,16.5325267522279,0.390940293340005,0.000875491284037923,0.000875500002300098,7.55690504121869E-9,0.000875492445395057,0.659670715332031,7.9999970703125,,29.696,11.7791482628842,2.52106513452856,0.0019,998.9870568,0.99973338842392,16.2816667556762,9.89999989542412E-6,2,1,7,16.1518617542685,16.1548287159244,,,,,,,,,,,,,,,,
,3945723807.58297,1810,18432,0,16.8513824232936,0.370910554663075,0.000356686256709322,,,0,0,,,0.280513741418642,0.00350704149936229,0.00350795056716116,,0,16.4942259562176,17.1502769224374,0.376438776630838,0.000984028344403763,0.000984028338306024,7.66271291976433E-9,0.000984020675593105,0.699387084960937,7.9999970703125,,29.696,12.4400420601921,2.38713019267248,0.0019,998.9870568,0.99973338842392,16.832899093628,9.89999989542412E-6,2,1,7,16.7045479804227,16.708612140853,,,,,,,,,,,,,,,,
,3945723867.58312,1810,18432,0,17.3903037679224,0.377068167603513,0.000397783908109322,,,0,0,,,0.323235560652473,0.00356526309442783,0.00356629308780282,,0,17.0482318793032,17.7402415027392,0.466723592412549,0.0011527685417192,0.00115275274568698,1.08153315647334E-8,0.00115274193035542,0.756999572753906,7.9999970703125,,29.696,12.655462384935,2.34649664285281,0.0291570073693118,998.9870568,0.99973338842392,17.3051948547363,9.89999989542412E-6,2,1,7,17.2072469890623,17.2056678334677,,,,,,,,,,,,,,,,
,3945723926.56958,1810,18432,0,17.8173779758606,0.334751954991188,0.000354614891596752,,,0,0,,,0.38552080511622,0.00316515392562279,0.00316622323091373,,0,17.5129990635659,18.1839560269201,0.552867978822988,0.00122065665166482,0.00122064492915954,1.3902851407638E-8,0.00122063102630813,0.778994812011719,7.9999970703125,,29.696,10.0716275686838,2.94848074926193,0.00213459154970146,998.9870568,0.99973338842392,17.8078155517578,9.89999989542412E-6,2,1,7,17.6613830769774,17.6691584939227,,,,,,,,,,,,,,,,
,3945723985.40536,1810,18432,0,18.2943888997945,0.331609475865178,0.000327417477799459,,,0,0,,,0.382705862044943,0.00313544108901772,0.00313654798635445,,0,17.9944121563153,18.6528216331008,0.543233261420536,0.00120039169205034,0.00120037530096311,1.47711165220381E-8,0.00120036052984658,0.772521240234375,7.9999970703125,,29.696,9.62147487891886,3.0864290946771,0.0019,998.9870568,0.99973338842392,18.3023872375488,9.89999989542412E-6,2,1,7,18.1453039527187,18.1542326005303,,,,,,,,,,,,,,,,
,3945724045.50458,1810,18432,0,18.787982956679,0.328754982183661,0.000307252837168686,,,0,0,,,0.38800403354078,0.00310845121861664,0.00310958622888262,,0,18.4878632685613,19.1460714327753,0.539671023688801,0.00120656066207059,0.00120653199944932,1.57747964384302E-8,0.00120651622465288,0.774520812988281,7.9999970703125,,29.696,9.21595157935887,3.2222391517888,0.0019,998.9870568,0.99973338842392,18.8021545410157,9.89999989542412E-6,2,1,7,18.639028569576,18.6488913929222,,,,,,,,,,,,,,,,
,3945724105.44797,1810,18432,0,19.28445967078,0.326341497017363,0.000289878830550316,,,0,0,,,0.399547780935251,0.00308563118146782,0.00308680687656756,,0,18.9817619229441,19.6485873277016,0.550153923196589,0.00123332491471136,0.00123332683770824,1.73594965880794E-8,0.00123330947821165,0.783093933105469,7.9999970703125,,29.696,8.83330603385827,3.36182171048694,0.0019,998.9870568,0.99973338842392,19.3049726486206,9.89999989542412E-6,2,1,7,19.1349859923979,19.1459120970403,,,,,,,,,,,,,,,,
,3945724165.43505,1810,18432,0,19.7823573520638,0.324044135161863,0.000271097882773245,,,0,0,,,0.412745783416139,0.00306390911595904,0.00306512456657096,,0,19.4761716213479,20.1537890249404,0.561686215619954,0.00126513761834219,0.00126511724049738,1.90810259358757E-8,0.00126509815947145,0.793141784667969,7.9999970703125,,29.696,8.45172554959272,3.51360202431455,0.0019,998.9870568,0.99973338842392,19.8024044036866,9.89999989542412E-6,2,1,7,19.6286018420955,19.6401927845127,,,,,,,,,,,,,,,,
,3945724225.48134,1810,18432,0,20.2806405213186,0.321083934416489,0.000248916686761478,,,0,0,,,0.42834458433891,0.0030359197618413,0.00303715730848085,,0,19.9703494622324,20.6602518885553,0.567516786960152,0.00130091224851478,0.00130094988487311,2.05667543255746E-8,0.00130092931811879,0.804314331054687,7.9999970703125,,29.696,8.03831876450303,3.69430485030484,0.0019,998.9870568,0.99973338842392,20.3001050949097,9.89999989542412E-6,2,1,7,20.1237859686444,20.1360039499551,,,,,,,,,,,,,,,,
,3945724285.22633,1810,18432,0,20.7779615216269,0.318229363191926,0.000235062639418592,,,0,0,,,0.447742888218239,0.00300892915825354,0.00301020581955753,,0,20.4620278297042,21.1698193596644,0.585582291682545,0.00134783132618389,0.00134779824778004,2.27628742073678E-8,0.00134777548490584,0.818686218261719,7.9999970703125,,29.696,7.71479188488163,3.84922891545449,0.005085911130038,998.9870568,0.99973338842392,20.7988433837891,9.89999989542412E-6,2,1,7,20.6170534726058,20.6303973951845,,,,,,,,,,,,,,,,
,3945724345.10624,1810,18432,0,21.2811223873479,0.314434251285321,0.000220701680370429,,,0,0,,,0.467739663643185,0.00297304553406474,0.00297436544670537,,0,20.9554481980275,21.685986431498,0.606539433228303,0.00139124920078933,0.00139122869359388,2.52706400942974E-8,0.00139120342295379,0.831789245605469,7.9999970703125,,30.72,7.61084596202417,4.03634499414172,0.00742853070830766,998.9870568,0.99973338842392,21.3048820495606,9.89999989542412E-6,2,1,7,21.1221717745375,21.1307899745668,,,,,,,,,,,,,,,,
,3945724406.6119,1810,18432,0,21.7968315020329,0.311077221683598,0.000209842908681849,,,0,0,,,0.485346497910418,0.00294130407516093,0.0029426758231291,,0,21.4622416773677,22.2128645639347,0.627044727993393,0.00142780684266433,0.00142821740524136,2.80562677166762E-8,0.00142818934897365,0.842791381835938,7.9999970703125,,31.744,7.50848900789662,4.22774808175321,0.0019,998.9870568,0.99973338842392,21.8218441009521,9.89999989542412E-6,2,1,7,21.6330396810626,21.6435439105196,,,,,,,,,,,,,,,,
,3945724469.1505,1810,18432,0,22.3203250925011,0.307724370466912,0.000198147477749187,,,0,0,,,0.501143538924352,0.00290960212381369,0.00291100661759871,,0,21.9777323905946,22.7454845401497,0.635487498613195,0.00145880711265128,0.00145883215817562,3.02670093027511E-8,0.00145880189116632,0.851793151855469,7.9999970703125,,32.768,7.37552603116434,4.44280175563655,0.00280978028184974,998.9870568,0.99973338842392,22.3474340438843,9.89999989542412E-6,2,1,7,22.1532547313086,22.1652580991866,,,,,,,,,,,,,,,,
